rank,trait,cosine,direction
53,verbose,0.02604450132915581,jailbroken
54,decisive,0.026043863987979886,jailbroken
55,chill,0.025678158331541617,jailbroken
56,adaptable,0.02550792512815068,jailbroken
57,temperamental,0.025224636002422862,jailbroken
58,critical,0.023956004552605433,jailbroken
59,spontaneous,0.022369193623326244,jailbroken
60,theoretical,0.021864766402618134,jailbroken
61,stream_of_consciousness,0.020645914261021532,jailbroken
62,animated,0.020349645913681377,jailbroken
63,moderate,0.01880272721586566,jailbroken
64,secular,0.01811218605126034,jailbroken
65,principled,0.01694789969680621,jailbroken
66,accessible,0.016703505896266457,jailbroken
67,erudite,0.01576792302547169,jailbroken
68,condescending,0.015193088004728562,jailbroken
69,absolutist,0.014923947140972565,jailbroken
70,iconoclastic,0.014579338808156204,jailbroken
71,neurotic,0.01452918177032256,jailbroken
72,inquisitive,0.01361439508524961,jailbroken
73,naive,0.013296303375094621,jailbroken
74,strategic,0.012616573551971318,jailbroken
75,grounded,0.009281423188622878,jailbroken
76,interdisciplinary,0.00918795613488384,jailbroken
77,methodical,0.00839717638159499,jailbroken
78,nostalgic,0.008237726402137945,jailbroken
79,dispassionate,0.007841622694665172,jailbroken
80,formal,0.0076586879663072,jailbroken
81,arrogant,0.007529785070098889,jailbroken
82,skeptical,0.0073342584300880665,jailbroken
83,grandiose,0.006347099775698033,jailbroken
84,anxious,0.006313190664375983,jailbroken
85,ascetic,0.005690502513261674,jailbroken
86,prescriptive,0.005370084920337201,jailbroken
87,risk_taking,0.004581498432394054,jailbroken
88,environmental,0.003590645518712781,jailbroken
89,altruistic,0.0016598274774900085,jailbroken
90,data_driven,0.0012159673517279958,jailbroken
91,reserved,0.000477687964149133,jailbroken
92,casual,-0.0005947405141216444,safe
93,epicurean,-0.0011954798984452428,safe
94,flippant,-0.0017305450760503674,safe
95,cautious,-0.0027420490927915642,safe
96,solemn,-0.003498070918356213,safe
97,serious,-0.003620139938503901,safe
98,mischievous,-0.004199561290054988,safe
99,divergent,-0.004319792355867981,safe
100,theatrical,-0.006080954149087579,safe
101,diplomatic,-0.007016451061771968,safe
102,judgmental,-0.007406972091486174,safe
103,metaphorical,-0.007787006558038854,safe
104,curious,-0.0082118794466968,safe
105,dramatic,-0.009886371423719585,safe
106,cryptic,-0.010669116680125273,safe
107,goofy,-0.011643251755217006,safe
108,rationalist,-0.01214327030445369,safe
109,charismatic,-0.012257666375966248,safe
110,empathetic,-0.012994763617754366,safe
111,cosmopolitan,-0.013110964482956684,safe
112,evil,-0.014284311431216635,safe
113,paradoxical,-0.015200256797809102,safe
114,proactive,-0.01555969522942243,safe
115,disorganized,-0.015866119941007943,safe
116,efficient,-0.0162112044986436,safe
117,mercurial,-0.016965579402832966,safe
118,bombastic,-0.017447786348754536,safe
119,fundamentalist,-0.01777584048580916,safe
120,entertaining,-0.01778598106053745,safe
121,problem_solving,-0.018054954317879957,safe
122,big_picture,-0.018717659993157713,safe
123,serene,-0.01940090383174996,safe
124,utilitarian,-0.02089240083335579,safe
125,nihilistic,-0.02167484673735572,safe
126,essentialist,-0.02453238401399304,safe
127,benevolent,-0.02476750746913861,safe
128,assertive,-0.024784170639763948,safe
129,resilient,-0.024884262842884163,safe
130,earnest,-0.02551686688205456,safe
131,obsessive,-0.025532865472605724,safe
132,melodramatic,-0.02566819553623035,safe
133,supportive,-0.025747170420272414,safe
134,flexible,-0.025858079048365058,safe
135,nurturing,-0.025902422518625096,safe
136,manic,-0.026406935631899435,safe
137,calm,-0.026659279362088895,safe
138,generous,-0.026676910466094366,safe
139,improvisational,-0.027513448872613984,safe
140,conciliatory,-0.027606100682805387,safe
141,sycophantic,-0.0276993044477334,safe
142,esoteric,-0.027782679863448043,safe
143,eloquent,-0.02893921875786384,safe
144,concise,-0.030359165398637568,safe
145,reverent,-0.03226549104966808,safe
146,mystical,-0.03433193012815578,safe
147,forgiving,-0.03504517828744477,safe
148,emotional,-0.03791150012334856,safe
149,subversive,-0.037972843100350144,safe
150,inspirational,-0.03895078951188724,safe
151,ethereal,-0.03913008312076551,safe
152,hedonistic,-0.04223742138863261,safe
153,educational,-0.043306412047882256,safe
154,poetic,-0.04383162832601518,safe
155,patient,-0.04388004280309657,safe
156,literal,-0.0439788909676391,safe
157,humanistic,-0.04499555186799012,safe
158,flirty,-0.04519085563006996,safe
159,spiritual,-0.046883154991040496,safe
160,artistic,-0.04705931609124164,safe
161,effusive,-0.04774193030390662,safe
162,qualitative,-0.04785246623200827,safe
163,pedantic,-0.048875583862397556,safe
164,socratic,-0.05074047511202399,safe
165,adventurous,-0.05228495247928035,safe
166,chaotic,-0.052718847433161534,safe
167,agreeable,-0.05320100334527569,safe
168,contemporary,-0.053941772894980713,safe
169,experiential,-0.05407455256830576,safe
170,militant,-0.05417893285913161,safe
171,confrontational,-0.054620226538136155,safe
172,collectivistic,-0.055402434669687826,safe
173,whimsical,-0.055547153997021884,safe
174,passionate,-0.055651619132233425,safe
175,dogmatic,-0.05639228949690758,safe
176,playful,-0.05676833248872031,safe
177,enigmatic,-0.060582286108425004,safe
178,rebellious,-0.06071745721397093,safe
179,idealistic,-0.06192718542484618,safe
180,speculative,-0.06252046318439002,safe
181,open_ended,-0.06305465453691558,safe
182,competitive,-0.06374187957302009,safe
183,analytical,-0.06613306317351456,safe
184,inclusive,-0.06700484796114357,safe
185,manipulative,-0.067873019898661,safe
186,avoidant,-0.06868109869738243,safe
187,introspective,-0.06983280040451424,safe
188,radical,-0.07016399737567473,safe
189,narrative,-0.07027044841572486,safe
190,submissive,-0.07271097624818348,safe
191,progressive,-0.07351879306625478,safe
192,libertarian,-0.07413896524919339,safe
193,optimistic,-0.07426205907411776,safe
194,materialist,-0.07688953959134809,safe
195,zealous,-0.078361101949723,safe
196,futuristic,-0.0819601387984412,safe
197,gregarious,-0.08239152877918428,safe
198,individualistic,-0.08412862200689493,safe
199,collaborative,-0.08446686616634547,safe
200,understated,-0.08479757980870374,safe
201,pensive,-0.08501679136093518,safe
202,philosophical,-0.08669379571241417,safe
203,provocative,-0.08698475619374954,safe
204,historical,-0.08933147665875113,safe
205,elitist,-0.09000276799960691,safe
206,existentialist,-0.09064620341185489,safe
207,extroverted,-0.09163621448956133,safe
208,paranoid,-0.09356008420083681,safe
209,romantic,-0.09762405281476821,safe
210,exploratory,-0.09785336899426222,safe
211,circumspect,-0.09951492703366,safe
212,practical,-0.09979903898851188,safe
213,deterministic,-0.10236752447670183,safe
214,rhetorical,-0.10262066622086131,safe
215,challenging,-0.10275509437951472,safe
216,deconstructionist,-0.10355472279471985,safe
217,innovative,-0.10507267067933208,safe
218,creative,-0.10546224686674398,safe
219,humble,-0.10546459570119786,safe
220,reductionist,-0.11297766934909595,safe
221,urgent,-0.11598265499382607,safe
222,impatient,-0.12132051596639357,safe
223,pacifist,-0.12461641267597054,safe
224,convergent,-0.13203756508365888,safe
225,dominant,-0.13841728932364672,safe
226,eclectic,-0.1384415544008117,safe
227,anthropocentric,-0.15230279602486152,safe
228,constructivist,-0.15494771708769606,safe
229,relativist,-0.19701597406961896,safe
