rank,trait,coef_std,abs_std,coef_proj,direction
38,passive_aggressive,2.524876030501706,2.524876030501706,3.2725376461942877,jailbroken
39,concise,-2.451034711648348,2.451034711648348,-5.4464596948776585,safe
40,principled,2.4467116384330345,2.4467116384330345,2.8807563029349055,jailbroken
41,nostalgic,2.4254156153386055,2.4254156153386055,4.742533402803542,jailbroken
42,inquisitive,2.387419682941143,2.387419682941143,5.695310921168561,jailbroken
43,understated,-2.3129579932921254,2.3129579932921254,-10.202530597650075,safe
44,conceptual,-2.304342230779371,2.304342230779371,-6.747725141668314,safe
45,dominant,-2.283644167178639,2.283644167178639,-7.3009166181419385,safe
46,relativist,-2.276944617157286,2.276944617157286,-5.165896761865164,safe
47,theatrical,2.260863596893993,2.260863596893993,2.6537876807806153,jailbroken
48,bitter,-2.2602651876360165,2.2602651876360165,-2.604186839226676,safe
49,assertive,2.250897561286258,2.250897561286258,5.001217294335543,jailbroken
50,creative,-2.212759166258053,2.212759166258053,-3.68826555731266,safe
51,paradoxical,2.1862794797769793,2.1862794797769793,3.790443193728896,jailbroken
52,stoic,2.185944353712249,2.185944353712249,3.3393599564203273,jailbroken
53,contrarian,2.1270311911389626,2.1270311911389626,5.283476302170135,jailbroken
54,earnest,2.0412610300029024,2.0412610300029024,3.5371350982266474,jailbroken
55,convergent,-2.0348630274258586,2.0348630274258586,-5.81145069138121,safe
56,avoidant,-2.00848589905647,2.00848589905647,-3.197921052941896,safe
57,irreverent,2.007715921527344,2.007715921527344,2.1957987012677402,jailbroken
58,casual,1.977670297087444,1.977670297087444,2.631628862901327,jailbroken
59,passionate,-1.9592193788095935,1.9592193788095935,-2.317806573808719,safe
60,philosophical,-1.943279504368549,1.943279504368549,-4.5182832405081745,safe
61,cruel,1.9157400355509586,1.9157400355509586,2.9748278991825576,jailbroken
62,zealous,-1.8957817659432745,1.8957817659432745,-2.27237296694104,safe
63,verbose,1.885487550998359,1.885487550998359,4.090141353388011,jailbroken
64,visceral,1.8639796513482583,1.8639796513482583,2.7240549414469895,jailbroken
65,individualistic,-1.8539002981157089,1.8539002981157089,-2.3151034950257983,safe
66,constructivist,-1.8322003967457634,1.8322003967457634,-5.154389925518529,safe
67,spiritual,1.785542016879124,1.785542016879124,3.1579860501935872,jailbroken
68,formal,-1.7786894910916005,1.7786894910916005,-2.2666866313577154,safe
69,speculative,-1.7718311225663181,1.7718311225663181,-2.9028614330911684,safe
70,technical,1.76092666994457,1.76092666994457,3.9240391108089976,jailbroken
71,poetic,-1.7409291717969675,1.7409291717969675,-2.4932430783427457,safe
72,challenging,-1.727064947847115,1.727064947847115,-4.506456178477642,safe
73,open_ended,-1.713573950302051,1.713573950302051,-4.094445031715904,safe
74,pluralist,1.7128485533734863,1.7128485533734863,4.438549712187727,jailbroken
75,pessimistic,-1.6937591305611117,1.6937591305611117,-4.369218685241307,safe
76,romantic,-1.6901856363917716,1.6901856363917716,-2.1199064036094626,safe
77,solemn,-1.6899987812935717,1.6899987812935717,-2.0324003866296265,safe
78,abstract,1.6283657386793624,1.6283657386793624,6.228646674806338,jailbroken
79,animated,1.5952766112938084,1.5952766112938084,2.2806515517774963,jailbroken
80,methodical,-1.531686252269253,1.531686252269253,-2.1281803654848193,safe
81,cautious,-1.4806557191653331,1.4806557191653331,-2.7015095898806782,safe
82,disorganized,1.4767375860103253,1.4767375860103253,2.5850974339113533,jailbroken
83,playful,-1.4753809134292164,1.4753809134292164,-1.6471815065139055,safe
84,metaphorical,1.4652164040965934,1.4652164040965934,2.131988557467879,jailbroken
85,utilitarian,-1.4599262641319024,1.4599262641319024,-4.243440046700724,safe
86,theoretical,1.4559001458997827,1.4559001458997827,5.59280643778233,jailbroken
87,urgent,-1.4324018307654849,1.4324018307654849,-4.746850000707532,safe
88,universalist,1.4314745167068896,1.4314745167068896,4.3471631340693815,jailbroken
89,generous,1.427118385113489,1.427118385113489,3.0512341291722582,jailbroken
90,historical,-1.4258476507151194,1.4258476507151194,-3.886424103741471,safe
91,sardonic,1.4241362484419189,1.4241362484419189,1.7973133589840025,jailbroken
92,obsessive,1.4126085164824977,1.4126085164824977,3.231807900224858,jailbroken
93,deterministic,-1.4120295655463242,1.4120295655463242,-2.791836862140658,safe
94,rhetorical,1.3981441286991536,1.3981441286991536,1.8978054292769344,jailbroken
95,forgiving,-1.3724331902609108,1.3724331902609108,-4.03938281380867,safe
96,nihilistic,-1.3668656285922514,1.3668656285922514,-2.149102135818556,safe
97,entertaining,1.3453763258378555,1.3453763258378555,1.4145871520265465,jailbroken
98,submissive,-1.3339372240356864,1.3339372240356864,-2.6206616237260136,safe
99,adventurous,1.3065333389767335,1.3065333389767335,1.780117676918746,jailbroken
100,supportive,-1.3009670233344253,1.3009670233344253,-3.1007743697088777,safe
101,grounded,1.2975466783702025,1.2975466783702025,3.294416992839408,jailbroken
102,evil,-1.2912442914537325,1.2912442914537325,-1.8456291017800721,safe
103,serene,-1.2906241889574654,1.2906241889574654,-2.171477967101807,safe
104,reductionist,1.2833097601716976,1.2833097601716976,3.2796736592567646,jailbroken
105,naive,1.2705831535854455,1.2705831535854455,2.391257708453098,jailbroken
106,interdisciplinary,1.265320442899933,1.265320442899933,3.716109245661426,jailbroken
107,manipulative,-1.2599693026519196,1.2599693026519196,-2.093533422322906,safe
108,impatient,-1.2515066240761956,1.2515066240761956,-2.2828378155385116,safe
109,enigmatic,1.2468609884287725,1.2468609884287725,1.6119860606256498,jailbroken
110,deferential,1.2350747998865104,1.2350747998865104,4.344473571247704,jailbroken
111,sycophantic,-1.2340920692406248,1.2340920692406248,-1.442673561520505,safe
112,melodramatic,-1.2285038428947892,1.2285038428947892,-1.3556309921730012,safe
113,traditional,-1.2158208642066408,1.2158208642066408,-4.656901672757936,safe
114,practical,-1.2112364721312177,1.2112364721312177,-3.9173625604334124,safe
115,progressive,-1.209211082075975,1.209211082075975,-4.235001880022362,safe
116,deconstructionist,-1.2089134395271046,1.2089134395271046,-3.062275910571902,safe
117,misanthropic,1.1991620284762856,1.1991620284762856,1.4212001929634472,jailbroken
118,pacifist,-1.1965534307912784,1.1965534307912784,-3.9811877050957016,safe
119,moderate,1.1926340038937486,1.1926340038937486,2.0371823334476225,jailbroken
120,proactive,1.1813262703479321,1.1813262703479321,2.1928956194805367,jailbroken
121,agreeable,-1.1756088095259598,1.1756088095259598,-2.0370413561826184,safe
122,mystical,-1.1651228017199795,1.1651228017199795,-2.328862468334888,safe
123,inclusive,-1.1637538422890346,1.1637538422890346,-4.183185748919088,safe
124,nurturing,1.1612475588929916,1.1612475588929916,2.8029332157929128,jailbroken
125,charismatic,1.149947535265253,1.149947535265253,2.033160084051571,jailbroken
126,temperamental,1.1164165434616702,1.1164165434616702,1.3638374213244455,jailbroken
127,callous,-1.1004784271254282,1.1004784271254282,-2.1229890083710696,safe
128,mischievous,1.0990696034476501,1.0990696034476501,1.1587902808881878,jailbroken
129,edgy,-1.091280829971752,1.091280829971752,-1.0819513759679151,safe
130,patient,-1.062278455158734,1.062278455158734,-1.9981295916474362,safe
131,fundamentalist,-1.0612664352268786,1.0612664352268786,-2.5451961154795524,safe
132,pensive,-1.0607867798780757,1.0607867798780757,-2.3775731334692196,safe
133,dramatic,1.0537882333348472,1.0537882333348472,1.2873776007936335,jailbroken
134,grandiose,1.0488450908223252,1.0488450908223252,1.2341824377014348,jailbroken
135,whimsical,-1.023195345516097,1.023195345516097,-1.0945378277414393,safe
136,strategic,1.0037436868379492,1.0037436868379492,2.0264774133208316,jailbroken
137,anthropocentric,-0.9903184417451585,0.9903184417451585,-2.731816522145875,safe
138,stream_of_consciousness,0.9795792551293369,0.9795792551293369,1.4528518092837863,jailbroken
139,fatalistic,0.9767226543468667,0.9767226543468667,2.2632031483494024,jailbroken
140,mercurial,-0.9727554762425058,0.9727554762425058,-1.2626537045652126,safe
141,literal,-0.9695114655480012,0.9695114655480012,-2.227480940716345,safe
142,problem_solving,0.95939024417729,0.95939024417729,1.9362559770200423,jailbroken
143,anxious,0.9526421784723389,0.9526421784723389,1.8535660225435424,jailbroken
144,existentialist,-0.9503353597940024,0.9503353597940024,-3.01625591859854,safe
145,rebellious,-0.9441815826623042,0.9441815826623042,-2.2160567173935815,safe
146,confident,-0.9338573024947215,0.9338573024947215,-1.6609576308941718,safe
147,conciliatory,0.9228071523118786,0.9228071523118786,1.4584697518521152,jailbroken
148,cryptic,-0.9172963453697234,0.9172963453697234,-1.32922333298464,safe
149,bombastic,-0.8932455995384224,0.8932455995384224,-1.103499726862508,safe
150,sarcastic,0.8691680120351952,0.8691680120351952,1.0563007135757225,jailbroken
151,flirty,-0.8530129698915051,0.8530129698915051,-0.9732104670393483,safe
152,witty,-0.8242004435226955,0.8242004435226955,-0.9547915936999911,safe
153,subversive,0.7913777734585595,0.7913777734585595,1.3366375678633646,jailbroken
154,meditative,0.7839270589305091,0.7839270589305091,2.182760109888718,jailbroken
155,environmental,0.7768516148374434,0.7768516148374434,2.3369834057502348,jailbroken
156,eloquent,0.7756028412140269,0.7756028412140269,1.3455395002747828,jailbroken
157,ascetic,0.7528861307357241,0.7528861307357241,1.9653511120842693,jailbroken
158,provocative,-0.7446930559065265,0.7446930559065265,-2.070204517842425,safe
159,elitist,0.7199511140442365,0.7199511140442365,1.2199824700494983,jailbroken
160,reverent,0.7128890795985218,0.7128890795985218,1.371133591855453,jailbroken
161,libertarian,0.6967551570938116,0.6967551570938116,1.6606684800033584,jailbroken
162,reserved,0.6863577479770644,0.6863577479770644,0.8535530460261609,jailbroken
163,arrogant,0.6747412680678928,0.6747412680678928,1.0257304590164955,jailbroken
164,dispassionate,-0.6687233459838119,0.6687233459838119,-0.8187952375236938,safe
165,ironic,0.6447540640867696,0.6447540640867696,0.7661912784146313,jailbroken
166,judgmental,0.6363101387101292,0.6363101387101292,0.9761795008292175,jailbroken
167,accommodating,0.634185393327949,0.634185393327949,0.988011797095403,jailbroken
168,qualitative,-0.6249625968481309,0.6249625968481309,-0.952822702756432,safe
169,curious,-0.6072063022017128,0.6072063022017128,-1.2254967569685637,safe
170,deontological,-0.5623940838648476,0.5623940838648476,-1.092923201378132,safe
171,collectivistic,-0.5466552796556979,0.5466552796556979,-1.6354885436838094,safe
172,acerbic,0.5388394509684933,0.5388394509684933,0.7047660841960777,jailbroken
173,accessible,0.5306901867010397,0.5306901867010397,1.1155027195640854,jailbroken
174,futuristic,0.5236868059726858,0.5236868059726858,1.5615571785366558,jailbroken
175,radical,0.5109413921368657,0.5109413921368657,1.0752141653739067,jailbroken
176,humanistic,-0.4864476585056658,0.4864476585056658,-1.2823258002592361,safe
177,militant,-0.48140032443393094,0.48140032443393094,-0.6443088264919347,safe
178,manic,-0.4707905583228781,0.4707905583228781,-0.5048706265493357,safe
179,collaborative,-0.4684031249259689,0.4684031249259689,-1.451295662184402,safe
180,diplomatic,-0.45458009228410157,0.45458009228410157,-0.5689795668387192,safe
181,cosmopolitan,-0.4426523281603843,0.4426523281603843,-1.2908286526829977,safe
182,quantitative,-0.43563510071804223,0.43563510071804223,-0.8872426718183728,safe
183,prescriptive,-0.4345986795239145,0.4345986795239145,-1.1370957163163387,safe
184,empathetic,0.43438386092822906,0.43438386092822906,0.7709222172571408,jailbroken
185,introverted,-0.42950421356690205,0.42950421356690205,-0.6144742068478816,safe
186,data_driven,-0.4188580807043178,0.4188580807043178,-0.9318010879307094,safe
187,wry,0.4140171996127289,0.4140171996127289,0.5757208904390223,jailbroken
188,chaotic,-0.41274093699642694,0.41274093699642694,-1.035006937156917,safe
189,inspirational,0.41169726409862495,0.41169726409862495,0.8441527200275444,jailbroken
190,petty,-0.4035630953804005,0.4035630953804005,-0.5537795413370312,safe
191,divergent,0.38951891428703944,0.38951891428703944,1.3358128048632063,jailbroken
192,hostile,-0.37543424192029345,0.37543424192029345,-0.4616175416710806,safe
193,effusive,-0.37081062796043557,0.37081062796043557,-0.444899348061816,safe
194,melancholic,-0.3633700887658316,0.3633700887658316,-0.7092246278042592,safe
195,erudite,-0.3587874398717469,0.3587874398717469,-0.9365008412983448,safe
196,exploratory,-0.35180437014592886,0.35180437014592886,-0.6121098080782847,safe
197,esoteric,0.34243486877434537,0.34243486877434537,0.6200181701406208,jailbroken
198,spontaneous,0.34162899879325287,0.34162899879325287,0.404271034391484,jailbroken
199,nonchalant,0.32927548765861403,0.32927548765861403,0.569122741786734,jailbroken
200,neurotic,0.32324979364976314,0.32324979364976314,0.495333722068205,jailbroken
201,materialist,-0.30313142046168684,0.30313142046168684,-0.9389396100550859,safe
202,absolutist,-0.2917237670407328,0.2917237670407328,-1.2884947459520508,safe
203,chill,0.28637622711463634,0.28637622711463634,0.634374151065295,jailbroken
204,altruistic,-0.2772357929250285,0.2772357929250285,-0.7040762064261474,safe
205,idealistic,-0.25061257357985167,0.25061257357985167,-0.6586274422379209,safe
206,condescending,0.24210558385441877,0.24210558385441877,0.3309638487050221,jailbroken
207,emotional,0.23430024365680133,0.23430024365680133,0.3342524203236075,jailbroken
208,dogmatic,-0.2199603786540464,0.2199603786540464,-0.42125306441102994,safe
209,experiential,0.21548133084299553,0.21548133084299553,0.5860280938967278,jailbroken
210,benevolent,0.20087224297074563,0.20087224297074563,0.4290659713698044,jailbroken
211,flippant,-0.19939801300427298,0.19939801300427298,-0.22456319795603497,safe
212,introspective,-0.18889451674562416,0.18889451674562416,-0.3187344211411818,safe
213,socratic,-0.16648298955423635,0.16648298955423635,-0.49010978681643896,safe
214,contemporary,-0.1606431696118249,0.1606431696118249,-0.7948634987646794,safe
215,flexible,-0.15329878253425475,0.15329878253425475,-0.3816366830509541,safe
216,ethereal,-0.14781269814223752,0.14781269814223752,-0.22423859499889787,safe
217,iconoclastic,0.13278815616798367,0.13278815616798367,0.2090425169254305,jailbroken
218,savage,-0.12166419943770497,0.12166419943770497,-0.18788340327199074,safe
219,skeptical,-0.09853692644662729,0.09853692644662729,-0.1933385844873248,safe
220,transparent,0.09426601318492465,0.09426601318492465,0.1887563154251358,jailbroken
221,independent,-0.09213364576709566,0.09213364576709566,-0.2650118175393375,safe
222,narrative,-0.0855579679537374,0.0855579679537374,-0.11573942401220343,safe
223,epicurean,0.0741803809007443,0.0741803809007443,0.16402466308281496,jailbroken
224,secular,-0.07222614869077805,0.07222614869077805,-0.2568375067827271,safe
225,competitive,0.04041403988653575,0.04041403988653575,0.05971333478209579,jailbroken
226,innovative,0.036178279830113326,0.036178279830113326,0.08111835631401969,jailbroken
227,big_picture,0.032233202047467754,0.032233202047467754,0.09782656566177406,jailbroken
228,closure_seeking,0.01741429704341582,0.01741429704341582,0.03557340489473677,jailbroken
229,rationalist,0.0019449683283920018,0.0019449683283920018,0.0051142097477367855,jailbroken
