rank,trait,mean_auc,std_auc,n_seeds,raw_auc_mean,direction
32,erudite,0.719340,0.098475,101,0.285309,high_score_predicts_refusal
33,nonchalant,0.716917,0.109388,101,0.714492,high_score_predicts_jailbreak
34,abstract,0.716036,0.091535,101,0.706514,high_score_predicts_jailbreak
35,ascetic,0.714665,0.093676,101,0.287448,high_score_predicts_refusal
36,fundamentalist,0.712493,0.119787,101,0.301195,high_score_predicts_refusal
37,circumspect,0.710650,0.120231,101,0.301449,high_score_predicts_refusal
38,constructivist,0.707655,0.105381,101,0.705849,high_score_predicts_jailbreak
39,skeptical,0.706829,0.112466,101,0.308767,high_score_predicts_refusal
40,grandiose,0.705730,0.105132,101,0.704869,high_score_predicts_jailbreak
41,innovative,0.705646,0.105189,101,0.704529,high_score_predicts_jailbreak
42,impulsive,0.704108,0.107554,101,0.687441,high_score_predicts_jailbreak
43,visceral,0.698483,0.106259,101,0.688457,high_score_predicts_jailbreak
44,deconstructionist,0.698089,0.116719,101,0.332780,high_score_predicts_refusal
45,stream_of_consciousness,0.698014,0.093444,101,0.696056,high_score_predicts_jailbreak
46,diplomatic,0.696363,0.114861,101,0.311704,high_score_predicts_refusal
47,assertive,0.695717,0.112198,101,0.681519,high_score_predicts_jailbreak
48,descriptive,0.694943,0.118329,101,0.648859,high_score_predicts_jailbreak
49,manic,0.694418,0.107777,101,0.688869,high_score_predicts_jailbreak
50,literal,0.689904,0.113802,101,0.336427,high_score_predicts_refusal
51,confrontational,0.689473,0.111878,101,0.686420,high_score_predicts_jailbreak
52,flirty,0.689002,0.098585,101,0.687118,high_score_predicts_jailbreak
53,reactive,0.686656,0.106078,101,0.681585,high_score_predicts_jailbreak
54,inclusive,0.685946,0.103976,101,0.334345,high_score_predicts_refusal
55,introverted,0.685233,0.101257,101,0.316970,high_score_predicts_refusal
56,theatrical,0.683669,0.102866,101,0.679677,high_score_predicts_jailbreak
57,bombastic,0.682954,0.100293,101,0.679278,high_score_predicts_jailbreak
58,closure_seeking,0.682791,0.118003,101,0.622578,high_score_predicts_jailbreak
59,edgy,0.681796,0.111949,101,0.676923,high_score_predicts_jailbreak
60,cryptic,0.681429,0.096042,101,0.671563,high_score_predicts_jailbreak
61,flippant,0.678650,0.110146,101,0.674980,high_score_predicts_jailbreak
62,quantitative,0.677650,0.089897,101,0.325538,high_score_predicts_refusal
63,altruistic,0.677534,0.098951,101,0.666527,high_score_predicts_jailbreak
64,open_ended,0.676415,0.117404,101,0.390537,high_score_predicts_refusal
65,goofy,0.672971,0.107691,101,0.666889,high_score_predicts_jailbreak
66,technical,0.672929,0.098155,101,0.337059,high_score_predicts_refusal
67,big_picture,0.671682,0.087998,101,0.668182,high_score_predicts_jailbreak
68,humanistic,0.669806,0.106828,101,0.380322,high_score_predicts_refusal
69,secular,0.668726,0.112915,101,0.624405,high_score_predicts_jailbreak
70,interdisciplinary,0.668716,0.119948,101,0.651550,high_score_predicts_jailbreak
71,exploratory,0.668705,0.112597,101,0.389979,high_score_predicts_refusal
72,stoic,0.667902,0.114360,101,0.590907,high_score_predicts_jailbreak
73,prescriptive,0.667715,0.115361,101,0.607496,high_score_predicts_jailbreak
74,neurotic,0.666036,0.098222,101,0.656133,high_score_predicts_jailbreak
75,flexible,0.663981,0.101940,101,0.646111,high_score_predicts_jailbreak
76,curious,0.663746,0.110856,101,0.584881,high_score_predicts_jailbreak
77,militant,0.663227,0.107329,101,0.641846,high_score_predicts_jailbreak
78,spiritual,0.662779,0.105069,101,0.650819,high_score_predicts_jailbreak
79,verbose,0.662746,0.108078,101,0.395443,high_score_predicts_refusal
80,moderate,0.660994,0.107484,101,0.369346,high_score_predicts_refusal
81,callous,0.660326,0.100931,101,0.631086,high_score_predicts_jailbreak
82,chaotic,0.659885,0.112492,101,0.427967,high_score_predicts_refusal
83,gregarious,0.659568,0.098085,101,0.615132,high_score_predicts_jailbreak
84,concise,0.659192,0.106817,101,0.598303,high_score_predicts_jailbreak
85,strategic,0.658433,0.097287,101,0.378163,high_score_predicts_refusal
86,resilient,0.658307,0.093909,101,0.361754,high_score_predicts_refusal
87,environmental,0.658211,0.107858,101,0.611510,high_score_predicts_jailbreak
88,cruel,0.658082,0.102337,101,0.625723,high_score_predicts_jailbreak
89,pensive,0.657462,0.107760,101,0.410041,high_score_predicts_refusal
90,introspective,0.655864,0.101239,101,0.527963,high_score_predicts_jailbreak
91,decisive,0.655345,0.105585,101,0.564605,high_score_predicts_jailbreak
92,iconoclastic,0.655178,0.105887,101,0.639481,high_score_predicts_jailbreak
93,pacifist,0.654470,0.095116,101,0.358368,high_score_predicts_refusal
94,problem_solving,0.654351,0.103225,101,0.364469,high_score_predicts_refusal
95,individualistic,0.653924,0.102849,101,0.647376,high_score_predicts_jailbreak
96,sardonic,0.653858,0.103500,101,0.633009,high_score_predicts_jailbreak
97,melodramatic,0.653323,0.103346,101,0.641506,high_score_predicts_jailbreak
98,efficient,0.652944,0.106835,101,0.579684,high_score_predicts_jailbreak
99,eclectic,0.652688,0.111097,101,0.422318,high_score_predicts_refusal
100,romantic,0.652301,0.100979,101,0.640132,high_score_predicts_jailbreak
101,calm,0.651237,0.100553,101,0.373654,high_score_predicts_refusal
102,reserved,0.650902,0.098648,101,0.408559,high_score_predicts_refusal
103,passionate,0.650621,0.104845,101,0.636891,high_score_predicts_jailbreak
104,temperamental,0.650609,0.102180,101,0.638647,high_score_predicts_jailbreak
105,cosmopolitan,0.650379,0.099553,101,0.604399,high_score_predicts_jailbreak
106,elitist,0.650367,0.092471,101,0.393915,high_score_predicts_refusal
107,irreverent,0.650226,0.102996,101,0.627334,high_score_predicts_jailbreak
108,spontaneous,0.649755,0.104406,101,0.633491,high_score_predicts_jailbreak
109,libertarian,0.649606,0.095938,101,0.385488,high_score_predicts_refusal
110,methodical,0.649580,0.105183,101,0.371905,high_score_predicts_refusal
111,dispassionate,0.649478,0.099209,101,0.407465,high_score_predicts_refusal
112,educational,0.649271,0.101429,101,0.563090,high_score_predicts_jailbreak
113,acerbic,0.648558,0.101778,101,0.619855,high_score_predicts_jailbreak
114,sassy,0.648477,0.106806,101,0.628398,high_score_predicts_jailbreak
115,witty,0.648110,0.100071,101,0.590315,high_score_predicts_jailbreak
116,poetic,0.647687,0.104489,101,0.632149,high_score_predicts_jailbreak
117,futuristic,0.646725,0.105053,101,0.610673,high_score_predicts_jailbreak
118,charismatic,0.645499,0.103398,101,0.551656,high_score_predicts_jailbreak
119,savage,0.645374,0.095710,101,0.596737,high_score_predicts_jailbreak
120,enigmatic,0.644843,0.094107,101,0.619744,high_score_predicts_jailbreak
121,experiential,0.644648,0.092231,101,0.459659,high_score_predicts_refusal
122,artistic,0.644480,0.098431,101,0.595159,high_score_predicts_jailbreak
123,supportive,0.644213,0.102647,101,0.546803,high_score_predicts_jailbreak
124,ironic,0.644143,0.099690,101,0.630443,high_score_predicts_jailbreak
125,animated,0.643919,0.098865,101,0.556400,high_score_predicts_jailbreak
126,blunt,0.643851,0.100702,101,0.493579,high_score_predicts_refusal
127,metaphorical,0.643695,0.101795,101,0.583002,high_score_predicts_jailbreak
128,improvisational,0.643301,0.092835,101,0.618674,high_score_predicts_jailbreak
129,systems_thinker,0.642532,0.102808,101,0.602059,high_score_predicts_jailbreak
130,wry,0.641746,0.101505,101,0.611690,high_score_predicts_jailbreak
131,cynical,0.641742,0.090884,101,0.409982,high_score_predicts_refusal
132,passive_aggressive,0.641578,0.096655,101,0.628910,high_score_predicts_jailbreak
133,emotional,0.641521,0.096907,101,0.522272,high_score_predicts_jailbreak
134,inquisitive,0.640918,0.100720,101,0.451190,high_score_predicts_refusal
135,creative,0.640817,0.101769,101,0.588468,high_score_predicts_jailbreak
136,condescending,0.640421,0.098890,101,0.413328,high_score_predicts_refusal
137,urgent,0.640118,0.089649,101,0.587094,high_score_predicts_jailbreak
138,nurturing,0.639356,0.095636,101,0.503017,high_score_predicts_jailbreak
139,detached,0.639351,0.093147,101,0.461443,high_score_predicts_refusal
140,divergent,0.638502,0.089576,101,0.512471,high_score_predicts_jailbreak
141,rationalist,0.638403,0.102291,101,0.551494,high_score_predicts_jailbreak
142,benevolent,0.638175,0.093535,101,0.419506,high_score_predicts_refusal
143,mercurial,0.637729,0.098471,101,0.602215,high_score_predicts_jailbreak
144,arrogant,0.637703,0.097225,101,0.609471,high_score_predicts_jailbreak
145,empathetic,0.637529,0.093416,101,0.491825,high_score_predicts_refusal
146,agreeable,0.637375,0.089984,101,0.427861,high_score_predicts_refusal
147,absolutist,0.637286,0.090632,101,0.583702,high_score_predicts_jailbreak
148,mischievous,0.637232,0.098170,101,0.602573,high_score_predicts_jailbreak
149,generous,0.637045,0.096923,101,0.502566,high_score_predicts_jailbreak
150,proactive,0.636951,0.095590,101,0.480364,high_score_predicts_refusal
151,zealous,0.636844,0.096931,101,0.612510,high_score_predicts_jailbreak
152,chill,0.636733,0.091397,101,0.590086,high_score_predicts_jailbreak
153,subversive,0.636456,0.100042,101,0.522093,high_score_predicts_jailbreak
154,adaptable,0.635920,0.096856,101,0.476316,high_score_predicts_refusal
155,evil,0.635258,0.088881,101,0.426126,high_score_predicts_refusal
156,analytical,0.635143,0.087593,101,0.410554,high_score_predicts_refusal
157,contrarian,0.634655,0.097973,101,0.576874,high_score_predicts_jailbreak
158,whimsical,0.634028,0.094235,101,0.589868,high_score_predicts_jailbreak
159,melancholic,0.633423,0.091584,101,0.594168,high_score_predicts_jailbreak
160,radical,0.633328,0.098246,101,0.590996,high_score_predicts_jailbreak
161,narrative,0.633184,0.098712,101,0.590548,high_score_predicts_jailbreak
162,ethereal,0.632851,0.088824,101,0.593642,high_score_predicts_jailbreak
163,bitter,0.632477,0.093556,101,0.580942,high_score_predicts_jailbreak
164,reverent,0.631785,0.096126,101,0.403471,high_score_predicts_refusal
165,hedonistic,0.631469,0.096149,101,0.569838,high_score_predicts_jailbreak
166,entertaining,0.631344,0.094852,101,0.537854,high_score_predicts_jailbreak
167,impatient,0.630961,0.091843,101,0.436058,high_score_predicts_refusal
168,casual,0.630919,0.096137,101,0.590548,high_score_predicts_jailbreak
169,nostalgic,0.630836,0.086210,101,0.591330,high_score_predicts_jailbreak
170,rebellious,0.630599,0.100889,101,0.581733,high_score_predicts_jailbreak
171,sarcastic,0.630480,0.093751,101,0.584280,high_score_predicts_jailbreak
172,mystical,0.630146,0.091328,101,0.569410,high_score_predicts_jailbreak
173,patient,0.629943,0.085291,101,0.463604,high_score_predicts_refusal
174,dramatic,0.629783,0.096712,101,0.587476,high_score_predicts_jailbreak
175,critical,0.629749,0.091764,101,0.555893,high_score_predicts_jailbreak
176,playful,0.629038,0.095116,101,0.561095,high_score_predicts_jailbreak
177,effusive,0.628999,0.092433,101,0.589805,high_score_predicts_jailbreak
178,deterministic,0.628676,0.082594,101,0.573579,high_score_predicts_jailbreak
179,solemn,0.627294,0.099869,101,0.410530,high_score_predicts_refusal
180,serene,0.627220,0.082396,101,0.439993,high_score_predicts_refusal
181,hostile,0.627185,0.089773,101,0.555601,high_score_predicts_jailbreak
182,rhetorical,0.627184,0.095508,101,0.562020,high_score_predicts_jailbreak
183,formal,0.626835,0.093094,101,0.410927,high_score_predicts_refusal
184,provocative,0.626431,0.100205,101,0.479182,high_score_predicts_refusal
185,competitive,0.625834,0.085188,101,0.545823,high_score_predicts_jailbreak
186,serious,0.625356,0.090414,101,0.440006,high_score_predicts_refusal
187,practical,0.624770,0.076886,101,0.596797,high_score_predicts_jailbreak
188,petty,0.624650,0.089932,101,0.554565,high_score_predicts_jailbreak
189,disorganized,0.624570,0.085973,101,0.532830,high_score_predicts_jailbreak
190,qualitative,0.624404,0.090551,101,0.591305,high_score_predicts_jailbreak
191,philosophical,0.624153,0.094320,101,0.490608,high_score_predicts_refusal
192,eloquent,0.623914,0.088074,101,0.489181,high_score_predicts_refusal
193,conciliatory,0.623738,0.079087,101,0.490410,high_score_predicts_refusal
194,conscientious,0.623529,0.089959,101,0.497500,high_score_predicts_refusal
195,traditional,0.623492,0.094799,101,0.487266,high_score_predicts_refusal
196,dominant,0.623438,0.089826,101,0.600031,high_score_predicts_jailbreak
197,anxious,0.623429,0.087995,101,0.484736,high_score_predicts_refusal
198,inspirational,0.623208,0.079099,101,0.475867,high_score_predicts_refusal
199,meditative,0.622787,0.086986,101,0.434984,high_score_predicts_refusal
200,dogmatic,0.622744,0.086733,101,0.534436,high_score_predicts_jailbreak
201,manipulative,0.622493,0.098009,101,0.444584,high_score_predicts_refusal
202,misanthropic,0.622011,0.084947,101,0.552408,high_score_predicts_jailbreak
203,anthropocentric,0.621091,0.086632,101,0.455332,high_score_predicts_refusal
204,earnest,0.620381,0.090565,101,0.472346,high_score_predicts_refusal
205,paranoid,0.619985,0.091174,101,0.474800,high_score_predicts_refusal
206,pessimistic,0.619135,0.088856,101,0.448473,high_score_predicts_refusal
207,historical,0.618954,0.096904,101,0.497735,high_score_predicts_refusal
208,obsessive,0.618809,0.082918,101,0.507347,high_score_predicts_jailbreak
209,nihilistic,0.618704,0.083070,101,0.525621,high_score_predicts_jailbreak
210,judgmental,0.617890,0.084454,101,0.503449,high_score_predicts_jailbreak
211,ritualistic,0.617745,0.075103,101,0.466966,high_score_predicts_refusal
212,optimistic,0.617198,0.085664,101,0.545316,high_score_predicts_jailbreak
213,collectivistic,0.617044,0.082850,101,0.489493,high_score_predicts_refusal
214,forgiving,0.617025,0.083457,101,0.492669,high_score_predicts_refusal
215,socratic,0.616751,0.082996,101,0.451302,high_score_predicts_refusal
216,convergent,0.616501,0.089637,101,0.509287,high_score_predicts_jailbreak
217,understated,0.615075,0.084458,101,0.464123,high_score_predicts_refusal
218,reductionist,0.614956,0.080434,101,0.451532,high_score_predicts_refusal
219,data_driven,0.614865,0.088081,101,0.476193,high_score_predicts_refusal
220,relativist,0.614537,0.084214,101,0.460534,high_score_predicts_refusal
221,epicurean,0.613541,0.094619,101,0.561043,high_score_predicts_jailbreak
222,grounded,0.612052,0.083605,101,0.428403,high_score_predicts_refusal
223,fatalistic,0.610995,0.078317,101,0.510488,high_score_predicts_jailbreak
224,transparent,0.608366,0.079973,101,0.508271,high_score_predicts_jailbreak
225,esoteric,0.604946,0.087598,101,0.553624,high_score_predicts_jailbreak
226,accessible,0.604822,0.078471,101,0.544011,high_score_predicts_jailbreak
227,contemporary,0.600657,0.075564,101,0.489724,high_score_predicts_refusal
228,theoretical,0.600261,0.065624,101,0.474140,high_score_predicts_refusal
229,deferential,0.596735,0.068010,101,0.531863,high_score_predicts_jailbreak
