trait,id_auc,avg_xfer_auc,GCG_auc,PAIR_auc,PAP_auc,GPTFuzz_auc,PEZ_auc,WJB_auc
theatrical,0.683669,0.634784,0.620225,0.715019,0.510570,0.636458,0.709178,0.617255
bombastic,0.682954,0.573897,0.584591,0.637460,0.537744,0.603324,0.538050,0.542214
closure_seeking,0.682791,0.623493,0.622632,0.630351,0.571362,0.613238,0.761040,0.542336
edgy,0.681796,0.622848,0.617496,0.642639,0.548420,0.682509,0.700643,0.545379
cryptic,0.681429,0.570322,0.524719,0.570137,0.589988,0.697445,0.513725,0.525919
flippant,0.678650,0.586496,0.530979,0.572838,0.607653,0.718050,0.524853,0.564605
quantitative,0.677650,0.592406,0.589567,0.503135,0.653625,0.742875,0.523382,0.541850
altruistic,0.677534,0.678081,0.675762,0.744218,0.539280,0.592918,0.809749,0.706557
open_ended,0.676415,0.654078,0.641091,0.667468,0.648658,0.672154,0.752658,0.542441
goofy,0.672971,0.563693,0.503852,0.507246,0.628621,0.708058,0.513954,0.520428
technical,0.672929,0.600706,0.523435,0.596506,0.680148,0.721001,0.538105,0.545043
big_picture,0.671682,0.642138,0.711878,0.711937,0.514641,0.710595,0.541993,0.661781
humanistic,0.669806,0.589784,0.549117,0.546049,0.564112,0.679506,0.641656,0.558264
secular,0.668726,0.639867,0.647191,0.625523,0.689627,0.567083,0.707718,0.602062
interdisciplinary,0.668716,0.653518,0.672071,0.705606,0.535850,0.683803,0.639766,0.684011
exploratory,0.668705,0.542157,0.571589,0.512067,0.526071,0.513370,0.582369,0.547474
stoic,0.667902,0.623005,0.613644,0.550740,0.665040,0.685434,0.649711,0.573460
prescriptive,0.667715,0.646398,0.696950,0.641114,0.663342,0.763325,0.589308,0.524347
neurotic,0.666036,0.587969,0.530979,0.566789,0.559538,0.707152,0.617963,0.545394
flexible,0.663981,0.687244,0.684912,0.747323,0.536298,0.711915,0.759929,0.683086
curious,0.663746,0.635921,0.605939,0.718627,0.532865,0.538324,0.728802,0.690972
militant,0.663227,0.563607,0.507223,0.554302,0.573243,0.614636,0.575833,0.556406
spiritual,0.662779,0.580548,0.522472,0.622593,0.651390,0.587456,0.534472,0.564906
verbose,0.662746,0.565347,0.516051,0.583310,0.555404,0.606741,0.549221,0.581351
moderate,0.660994,0.597206,0.529374,0.604729,0.593798,0.684088,0.593420,0.577824
callous,0.660326,0.566933,0.510754,0.612029,0.551919,0.599130,0.533186,0.594581
chaotic,0.659885,0.610927,0.562921,0.589626,0.587604,0.643421,0.727004,0.554988
gregarious,0.659568,0.644421,0.589406,0.684935,0.640155,0.607931,0.716133,0.627964
concise,0.659192,0.563742,0.516051,0.589580,0.542050,0.595558,0.552908,0.586303
strategic,0.658433,0.669055,0.634189,0.683265,0.632351,0.759261,0.635719,0.669546
resilient,0.658307,0.647528,0.595185,0.682075,0.566754,0.726903,0.712816,0.601433
environmental,0.658211,0.624118,0.608507,0.707117,0.509544,0.701768,0.525746,0.692028
cruel,0.658082,0.586883,0.519101,0.628337,0.511837,0.703425,0.563644,0.594955
pensive,0.657462,0.570171,0.506100,0.635324,0.552218,0.589578,0.515316,0.622487
introspective,0.655864,0.627420,0.595987,0.708185,0.554873,0.533794,0.698099,0.673581
decisive,0.655345,0.640957,0.579775,0.654531,0.598258,0.700603,0.734444,0.578130
iconoclastic,0.655178,0.634585,0.663884,0.666354,0.537871,0.647019,0.732598,0.559782
pacifist,0.654470,0.678118,0.651846,0.724432,0.629963,0.632963,0.748562,0.680942
problem_solving,0.654351,0.594547,0.519743,0.612807,0.589337,0.680826,0.573420,0.591145
individualistic,0.653924,0.628314,0.604655,0.693143,0.548779,0.619477,0.702996,0.600837
sardonic,0.653858,0.572108,0.514607,0.536659,0.598839,0.709689,0.531481,0.541372
melodramatic,0.653323,0.604261,0.590369,0.670031,0.535195,0.640781,0.613535,0.575659
efficient,0.652944,0.564731,0.505778,0.562487,0.534755,0.625430,0.560474,0.599465
eclectic,0.652688,0.566265,0.593900,0.539847,0.574670,0.537237,0.647451,0.504485
romantic,0.652301,0.572274,0.513162,0.567597,0.643800,0.673501,0.504995,0.530591
calm,0.651237,0.595452,0.555859,0.576895,0.575324,0.704072,0.601100,0.559463
reserved,0.650902,0.657785,0.657464,0.714233,0.529299,0.647226,0.770605,0.627882
passionate,0.650621,0.609452,0.587319,0.660061,0.585983,0.627941,0.611895,0.583513
temperamental,0.650609,0.572231,0.533387,0.526415,0.582389,0.705288,0.560566,0.525337
cosmopolitan,0.650379,0.613716,0.542857,0.637559,0.520378,0.658823,0.645615,0.677065
elitist,0.650367,0.674854,0.681701,0.713547,0.562836,0.637027,0.776394,0.677616
irreverent,0.650226,0.572222,0.503531,0.530397,0.608012,0.709741,0.549515,0.532136
spontaneous,0.649755,0.613539,0.550722,0.588841,0.614120,0.729595,0.636765,0.561191
libertarian,0.649606,0.648840,0.643981,0.683463,0.605519,0.659600,0.633775,0.666702
methodical,0.649580,0.604262,0.547673,0.583738,0.654263,0.726101,0.535670,0.578126
dispassionate,0.649478,0.643353,0.618620,0.693448,0.591114,0.666123,0.680103,0.610712
educational,0.649271,0.671763,0.643178,0.711655,0.591186,0.693174,0.683415,0.707967
acerbic,0.648558,0.566270,0.520867,0.541137,0.548921,0.693847,0.552800,0.540051
sassy,0.648477,0.544118,0.559230,0.565576,0.515603,0.590899,0.518197,0.515207
witty,0.648110,0.655906,0.630658,0.718116,0.575978,0.646398,0.745877,0.618412
poetic,0.647687,0.613973,0.598234,0.668413,0.588987,0.623800,0.625414,0.578990
futuristic,0.646725,0.619162,0.671429,0.686262,0.554814,0.632860,0.544570,0.625039
charismatic,0.645499,0.639804,0.592937,0.721686,0.559711,0.574979,0.734793,0.654716
savage,0.645374,0.607350,0.510112,0.655019,0.526547,0.680645,0.675479,0.596296
enigmatic,0.644843,0.561934,0.510594,0.541640,0.601384,0.706997,0.506590,0.504398
experiential,0.644648,0.567932,0.577368,0.607346,0.532861,0.505397,0.602380,0.582240
artistic,0.644480,0.620341,0.565169,0.658352,0.654378,0.645078,0.602097,0.596975
supportive,0.644213,0.643819,0.605457,0.716240,0.520416,0.579276,0.762429,0.679096
ironic,0.644143,0.572280,0.517817,0.523318,0.637190,0.717895,0.519145,0.518318
animated,0.643919,0.634541,0.609631,0.711411,0.563076,0.595325,0.699722,0.628080
blunt,0.643851,0.567691,0.554896,0.575652,0.635809,0.550594,0.517309,0.571885
metaphorical,0.643695,0.647995,0.652488,0.727696,0.548312,0.613808,0.713453,0.632214
improvisational,0.643301,0.602009,0.595506,0.519008,0.680979,0.727266,0.577271,0.512026
systems_thinker,0.642532,0.652717,0.621188,0.702471,0.551746,0.739251,0.598284,0.703364
wry,0.641746,0.559783,0.518620,0.510870,0.566377,0.714763,0.520534,0.527537
cynical,0.641742,0.629382,0.549920,0.635461,0.575808,0.646967,0.698519,0.669615
passive_aggressive,0.641578,0.566597,0.507544,0.511312,0.616621,0.697756,0.512184,0.554166
emotional,0.641521,0.605637,0.520385,0.639283,0.639118,0.648184,0.611912,0.574941
inquisitive,0.640918,0.600490,0.624719,0.507735,0.662009,0.638192,0.641068,0.529215
creative,0.640817,0.635997,0.627448,0.692647,0.560943,0.606482,0.698208,0.630257
condescending,0.640421,0.626665,0.579615,0.650572,0.517025,0.595221,0.764935,0.652624
urgent,0.640118,0.586537,0.519262,0.566262,0.534512,0.629029,0.704956,0.565199
nurturing,0.639356,0.616199,0.555056,0.694203,0.531484,0.524889,0.721443,0.670121
detached,0.639351,0.601607,0.517978,0.642593,0.637968,0.646631,0.587413,0.577062
divergent,0.638502,0.529622,0.500000,0.512037,0.540166,0.566177,0.510986,0.548366
rationalist,0.638403,0.632807,0.545907,0.623211,0.662988,0.718231,0.610332,0.636170
benevolent,0.638175,0.599025,0.532745,0.655957,0.515069,0.716549,0.548126,0.625702
mercurial,0.637729,0.606922,0.554896,0.610305,0.598341,0.730812,0.573023,0.574154
arrogant,0.637703,0.591644,0.529213,0.577155,0.588381,0.611167,0.657440,0.586507
empathetic,0.637529,0.601161,0.530979,0.649222,0.613010,0.608967,0.613546,0.591241
agreeable,0.637375,0.620254,0.520706,0.690122,0.509061,0.661334,0.705011,0.635293
absolutist,0.637286,0.574753,0.533387,0.506621,0.542880,0.699361,0.647337,0.518933
mischievous,0.637232,0.553865,0.506581,0.504012,0.603985,0.655329,0.538919,0.514366
generous,0.637045,0.606386,0.565490,0.672090,0.532840,0.611814,0.586176,0.669906
proactive,0.636951,0.595298,0.588443,0.651388,0.546309,0.558308,0.570594,0.656744
zealous,0.636844,0.558960,0.507544,0.559741,0.622817,0.621211,0.525882,0.516567
chill,0.636733,0.652665,0.583307,0.672715,0.564047,0.668608,0.775349,0.651962
subversive,0.636456,0.605881,0.565811,0.646095,0.500696,0.654241,0.707865,0.560576
adaptable,0.635920,0.582745,0.506260,0.635927,0.553734,0.581062,0.614946,0.604543
evil,0.635258,0.688678,0.660835,0.756171,0.564799,0.681706,0.782947,0.685613
analytical,0.635143,0.646885,0.550080,0.621960,0.673027,0.747612,0.634793,0.653838
contrarian,0.634655,0.668512,0.752327,0.708413,0.627661,0.591753,0.733731,0.597184
whimsical,0.634028,0.559966,0.526485,0.545751,0.617160,0.662758,0.506400,0.501240
melancholic,0.633423,0.562916,0.514286,0.507651,0.532601,0.697083,0.593377,0.532497
radical,0.633328,0.570410,0.570305,0.541854,0.590218,0.681888,0.526906,0.511289
narrative,0.633184,0.583014,0.526645,0.613982,0.583494,0.658435,0.554303,0.561228
ethereal,0.632851,0.593595,0.601445,0.526545,0.606737,0.674432,0.611460,0.540954
bitter,0.632477,0.585736,0.528571,0.568711,0.559923,0.673138,0.616133,0.567938
reverent,0.631785,0.602987,0.590369,0.530854,0.555062,0.717688,0.692908,0.531043
hedonistic,0.631469,0.636355,0.609149,0.644279,0.642039,0.687375,0.658742,0.576544
entertaining,0.631344,0.589759,0.539005,0.600381,0.623398,0.643628,0.601400,0.530743
impatient,0.630961,0.687637,0.663403,0.719504,0.591372,0.691025,0.759619,0.700899
casual,0.630919,0.587529,0.580257,0.519115,0.657443,0.700551,0.564766,0.503044
nostalgic,0.630836,0.587240,0.578812,0.522525,0.639333,0.675494,0.578747,0.528528
rebellious,0.630599,0.612895,0.690690,0.677056,0.526673,0.551189,0.636999,0.594764
sarcastic,0.630480,0.596481,0.537239,0.589580,0.582873,0.694649,0.599975,0.574571
mystical,0.630146,0.593710,0.569663,0.502838,0.694770,0.709689,0.571122,0.514178
patient,0.629943,0.627075,0.536437,0.620435,0.550857,0.669618,0.748802,0.636301
dramatic,0.629783,0.598272,0.602568,0.654066,0.556260,0.649323,0.565572,0.561845
critical,0.629749,0.643879,0.709952,0.707098,0.613369,0.500453,0.699668,0.632735
playful,0.629038,0.551181,0.501766,0.528719,0.633874,0.640574,0.501283,0.500874
effusive,0.628999,0.561573,0.530819,0.504836,0.619570,0.624939,0.584809,0.504466
deterministic,0.628676,0.602390,0.547673,0.591533,0.588355,0.717170,0.585664,0.583947
solemn,0.627294,0.590674,0.522953,0.520809,0.615746,0.738034,0.632756,0.513746
serene,0.627220,0.638677,0.578973,0.680702,0.508313,0.695711,0.743943,0.624423
hostile,0.627185,0.619644,0.576565,0.668268,0.511414,0.648314,0.699880,0.613420
rhetorical,0.627184,0.612975,0.632263,0.678085,0.568128,0.614403,0.611073,0.573898
formal,0.626835,0.598445,0.581701,0.575713,0.640170,0.711682,0.571558,0.509844
provocative,0.626431,0.586672,0.631621,0.592571,0.570253,0.571821,0.612456,0.541308
competitive,0.625834,0.600796,0.560835,0.605507,0.549044,0.602832,0.705735,0.580822
serious,0.625356,0.596550,0.574318,0.564348,0.658327,0.720147,0.532767,0.529395
practical,0.624770,0.579041,0.547833,0.591083,0.503463,0.682250,0.609145,0.540471
petty,0.624650,0.566651,0.501605,0.512769,0.556814,0.641790,0.655806,0.531124
disorganized,0.624570,0.671441,0.639165,0.681152,0.628689,0.761746,0.647838,0.670059
qualitative,0.624404,0.590159,0.561156,0.578383,0.651386,0.706635,0.506601,0.536794
philosophical,0.624153,0.555771,0.501124,0.635400,0.532701,0.560741,0.511754,0.592907
eloquent,0.623914,0.592781,0.575602,0.680633,0.547162,0.613678,0.539831,0.599779
conciliatory,0.623738,0.636445,0.576565,0.694897,0.536020,0.655691,0.697751,0.657749
conscientious,0.623529,0.691470,0.662440,0.736140,0.628059,0.725272,0.703328,0.693581
traditional,0.623492,0.559031,0.584270,0.503699,0.519485,0.679558,0.546236,0.520937
dominant,0.623438,0.605653,0.616854,0.622517,0.581356,0.713598,0.577963,0.521630
anxious,0.623429,0.595497,0.508828,0.567185,0.529393,0.703476,0.665327,0.598770
inspirational,0.623208,0.639479,0.522311,0.692715,0.504173,0.717610,0.740000,0.660066
meditative,0.622787,0.648764,0.550722,0.724371,0.508878,0.673423,0.754265,0.680928
dogmatic,0.622744,0.672641,0.641252,0.692715,0.624090,0.728819,0.697282,0.651686
manipulative,0.622493,0.609047,0.581220,0.613539,0.575949,0.649349,0.604630,0.629595
misanthropic,0.622011,0.588563,0.521990,0.599672,0.537863,0.678833,0.610572,0.582448
anthropocentric,0.621091,0.647921,0.705457,0.643730,0.604429,0.622065,0.676155,0.635692
earnest,0.620381,0.653984,0.610433,0.703082,0.535004,0.716264,0.687631,0.671489
paranoid,0.619985,0.633559,0.592777,0.645118,0.579044,0.680671,0.700866,0.602881
pessimistic,0.619135,0.629490,0.552809,0.622227,0.570768,0.680697,0.690719,0.659720
historical,0.618954,0.555507,0.633387,0.502624,0.594676,0.554736,0.534962,0.512656
obsessive,0.618809,0.654030,0.652167,0.661320,0.596474,0.767156,0.612549,0.634518
nihilistic,0.618704,0.616536,0.576083,0.669336,0.505892,0.677461,0.658954,0.611489
judgmental,0.617890,0.574780,0.516533,0.551472,0.538993,0.643369,0.601471,0.596840
ritualistic,0.617745,0.601156,0.511878,0.569268,0.571139,0.738448,0.673546,0.542660
optimistic,0.617198,0.626234,0.568379,0.609718,0.598009,0.689886,0.634864,0.656551
collectivistic,0.617044,0.648773,0.650241,0.733207,0.500472,0.586705,0.763077,0.658938
forgiving,0.617025,0.604781,0.559551,0.669474,0.546112,0.516632,0.723252,0.613669
socratic,0.616751,0.646814,0.685875,0.596171,0.643448,0.758173,0.595212,0.602003
convergent,0.616501,0.647494,0.523756,0.649954,0.641972,0.722684,0.708066,0.638530
understated,0.615075,0.588557,0.515249,0.688871,0.503771,0.630167,0.549559,0.643724
reductionist,0.614956,0.582033,0.535313,0.504882,0.584567,0.685046,0.646923,0.535465
data_driven,0.614865,0.596975,0.515730,0.588429,0.648378,0.716238,0.515202,0.597874
relativist,0.614537,0.644863,0.565490,0.681762,0.614493,0.606016,0.762712,0.638702
epicurean,0.613541,0.595192,0.547833,0.663410,0.602259,0.625379,0.525904,0.606371
grounded,0.612052,0.562805,0.570787,0.507323,0.539926,0.733375,0.519423,0.506000
fatalistic,0.610995,0.637021,0.655698,0.677285,0.551064,0.722244,0.572092,0.643746
transparent,0.608366,0.651741,0.629856,0.679512,0.612664,0.701716,0.629368,0.657331
esoteric,0.604946,0.577564,0.573355,0.636568,0.523268,0.630064,0.572233,0.529898
accessible,0.604822,0.553344,0.528090,0.516514,0.546189,0.538117,0.597146,0.594009
contemporary,0.600657,0.554533,0.570787,0.575355,0.550906,0.560120,0.548420,0.521611
theoretical,0.600261,0.565738,0.530819,0.607346,0.518112,0.646269,0.520267,0.571615
deferential,0.596735,0.588985,0.583146,0.531915,0.652831,0.605343,0.599641,0.561033
